"stockcode","description","frequency","total_sold","total_revenue"
"85123A",White Hanging Heart T-Light Holder,2311,37872,106236.72
"85099B",Jumbo Bag Red Retrospot,2109,48371,94159.81
"22423",Regency Cakestand 3 Tier,2007,13851,174156.54
"47566",Party Bunting,1699,18283,99445.23
"20725",Lunch Bag Red Retrospot,1581,19232,35572.36
"84879",Assorted Colour Bird Ornament,1476,36362,58927.62
"22720",Set Of 3 Cake Tins Pantry Design ,1392,7483,38108.89
"21212",Pack Of 72 Retrospot Cake Cases,1352,36396,21246.45
"20727",Lunch Bag  Black Skull.,1301,12195,22346.96
"22457",Natural Slate Heart Chalkboard ,1255,9119,27991.61
